id,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
105,10.776,4.71,11.020999999999999,4.12,3.6149999999999998,3.11,76.18,3.77,4.961,3.35
106,10.97,4.65,10.987,4.04,3.5159999999999996,3.25,76.8,3.56,4.727,2.98
107,10.068999999999999,4.8,10.128,4.13,3.636,3.36,85.62,4.2,5.254,3.03
108,10.008,5.07,10.081,4.04,3.715,3.77,87.54999999999998,3.96,5.2909999999999995,2.82
109,7.0040000000000004,4.74,6.1259999999999994,3.97,2.8120000000000003,2.98,71.11,3.44,4.023,1.91
110,7.595000000000001,5.42,6.616,4.16,3.071,3.1,78.94,3.56,4.482,2.22
111,10.623000000000001,6.82,10.402,5.07,4.006,4.96,105.34,4.99,5.727,3.2
112,10.519,7.1,9.684999999999999,5.43,3.761,4.43,102.04,4.9,5.478,2.83
113,7.648999999999999,5.36,6.906000000000001,4.02,3.007,3.03,72.41,3.71,4.311,2.08
114,6.566,3.79,6.106,3.35,2.495,2.44,63.75999999999999,2.72,4.019,1.89
115,9.873000000000001,6.48,9.169,5.31,3.5340000000000003,4.02,92.36000000000001,4.46,5.053,2.69
116,15.7,9.0,19.2,7.02,8.559999999999999,6.44,227.0,6.84,17.5,6.77
117,19.0,11.92,22.5,8.55,10.175,7.75,240.0,7.71,17.5,7.0
118,7.001,3.71,7.69,2.88,4.942,3.08,79.56,3.35,5.274,3.02
119,9.293000000000001,5.28,11.094,3.87,5.511,4.16,137.0,4.29,9.637,3.79
120,11.852,6.87,13.491,5.06,7.82,5.24,132.0,5.38,8.528,4.74
121,12.026,7.01,13.241999999999999,5.4,6.7,5.35,130.1,5.22,8.753,5.12
122,6.763,4.37,6.017,3.73,5.303,4.08,92.18,4.31,5.438000000000001,4.14
123,5.708,4.28,4.672,3.63,5.364,4.11,89.93,4.23,5.814,4.32
124,4.819,3.44,4.371,3.01,5.046,3.6,94.86000000000001,3.45,5.5,4.57
125,3.0989999999999998,2.09,2.614,1.82,3.283,2.09,50.67,1.98,3.08,1.95
126,3.4170000000000003,2.21,2.7800000000000002,1.97,3.582,2.32,51.77,2.06,3.313,1.93
127,3.7640000000000002,2.2,3.158,1.87,3.7689999999999997,2.37,57.06,2.19,3.719,2.2
128,3.511,2.51,2.918,2.54,2.32,1.81,38.09,1.84,1.8329999999999997,1.57
129,3.3369999999999997,2.69,3.006,2.51,2.286,1.84,38.3,1.87,1.9129999999999998,1.54
130,3.4799999999999995,2.44,2.912,2.38,2.316,1.6,35.5,1.51,1.907,1.47
131,7.489,5.63,6.054,4.67,4.538,3.3,72.16,3.53,3.194,4.36
132,7.670999999999999,5.82,6.154,5.2,4.787,3.53,75.24,4.21,3.511,4.47
133,4.525,3.5,3.872,3.33,2.8600000000000003,2.03,46.36,2.39,2.403,1.99
134,4.64,3.39,3.8600000000000003,3.32,2.9,2.36,49.08,2.49,2.6550000000000002,2.19
135,4.568,3.95,3.8979999999999997,3.51,2.915,2.44,45.23,2.52,2.464,2.64
136,4.518,3.44,3.853,3.15,2.831,2.21,46.92999999999999,2.36,2.586,2.12
137,5.022,4.31,3.633,3.79,2.57,2.24,46.42,2.1,2.587,1.45
138,4.471,3.93,3.287,2.97,2.087,1.76,40.79,1.8,2.342,1.25
139,8.492,7.9,6.316,5.78,4.6770000000000005,3.84,82.87,4.36,3.717,3.23
140,8.815999999999999,8.15,6.699,6.25,4.654999999999999,3.86,83.02,3.99,3.6710000000000003,3.84
141,8.239,4.8,9.25,3.64,4.786,4.05,140.0,4.26,9.539,3.43
142,8.348,5.06,9.446,3.57,4.926,4.04,110.0,3.8,8.2,3.45
143,2.794,1.93,3.025,1.66,1.955,1.52,35.21,1.38,2.447,1.16
144,2.94,2.05,3.2560000000000002,1.9,2.092,1.46,38.96,1.45,2.398,1.2
145,6.892,4.48,7.544,3.97,3.849,3.02,89.16,3.53,6.775,2.84
146,6.737,4.34,7.85,4.05,2.753,2.53,45.73,2.53,2.557,2.25
147,3.879,2.61,4.66,2.64,1.864,1.54,32.09,1.37,1.58,1.28
148,11.672,6.08,13.382,6.32,4.455,3.6,78.04,3.99,4.878,2.72
149,13.847999999999999,7.54,15.7,6.72,6.220000000000001,5.07,116.09,5.83,7.249,3.94
150,11.199,6.33,12.588,5.13,4.567,3.74,84.80000000000001,3.93,5.274,3.1
151,8.23,4.88,9.509,4.34,3.739,3.02,75.34,3.19,5.006,2.38
152,10.844,6.54,12.099,5.55,4.789,4.08,90.24,4.09,6.081,3.05
153,13.809000000000001,8.08,15.549000000000001,7.43,6.314,5.45,125.0,4.66,7.517,4.11
154,12.95,7.52,14.4,6.4,6.031000000000001,4.91,113.44,5.15,7.011,3.57
155,10.038,5.52,11.324,5.04,4.4719999999999995,4.07,82.87,3.69,5.4799999999999995,3.25
156,12.74,6.93,14.2,6.25,5.843999999999999,4.68,107.48000000000002,5.2,6.5680000000000005,3.87
157,15.0,8.05,17.0,7.36,6.76,5.98,124.92000000000002,5.76,7.840999999999999,4.33
158,7.093000000000001,4.27,7.928,3.86,3.688,3.21,72.1,2.83,4.38,2.58
159,12.674,6.5,14.0,5.82,5.8420000000000005,4.66,105.81,5.09,6.476999999999999,3.63
160,7.643000000000001,4.11,8.679,3.84,,,67.13,2.48,4.165,2.1
161,7.315,4.2,8.112,3.72,3.3659999999999997,2.62,70.39,2.49,4.337,2.37
162,8.471,5.3,9.459,4.36,3.617,3.15,69.97,3.03,3.397,2.48
163,9.189,4.99,9.931000000000001,4.73,4.003,2.93,73.23,2.99,3.588,2.42
164,8.5,5.07,9.317,4.21,3.8329999999999997,2.57,67.32,2.73,4.0,2.53
165,8.791,5.15,9.767,4.78,3.857,2.92,70.1,2.59,3.4210000000000003,2.33
166,6.348,4.03,7.733,3.65,2.684,2.31,48.81999999999999,2.51,2.291,1.7
167,8.0,4.7,11.196,4.87,4.017,3.34,68.89,3.25,3.3689999999999998,2.7
168,5.096,3.32,5.914,3.18,2.268,1.74,37.49,2.06,1.591,1.71
169,2.5100000000000002,1.68,2.6109999999999998,1.73,1.786,1.33,35.85,1.2,2.3440000000000003,1.05
170,2.239,1.53,2.416,1.29,1.582,1.15,30.309999999999995,0.99,1.81,1.01
171,2.289,1.55,2.462,1.59,1.5710000000000002,1.14,34.27,1.06,2.102,1.04
172,6.475,4.27,7.013,3.91,4.182,3.23,86.5,3.81,6.523999999999999,3.41
173,3.597,2.81,3.9560000000000004,2.5,3.117,2.16,52.0,2.53,3.214,2.2
174,7.135,4.89,8.097,12.0,4.247999999999999,3.21,86.6,3.56,6.848999999999999,3.03
175,7.343999999999999,5.16,8.364,4.06,4.495,3.38,80.76,3.76,5.883,3.05
176,3.3200000000000003,2.11,3.431,2.25,2.036,1.57,37.95,1.42,2.367,1.26
177,3.2310000000000003,2.16,3.274,1.98,1.905,1.4,33.37,1.14,2.12,1.0
178,2.851,1.8,2.935,1.78,1.7600000000000002,1.21,36.04,1.14,2.081,0.83
179,3.412,1.9,3.557,1.93,2.122,1.39,46.24000000000001,1.27,3.1390000000000002,1.05
180,8.701,5.18,9.434000000000001,4.45,3.5729999999999995,2.8,67.12,2.93,4.343,2.34
181,4.397,4.64,5.107,3.8,3.876,3.18,55.67,2.88,3.041,2.83
182,4.458,5.76,5.276,4.84,4.047,3.76,56.42,3.31,3.132,3.34
183,2.025,2.35,2.5140000000000002,1.76,2.0170000000000003,1.37,27.67,1.41,1.568,1.55
184,4.87,5.46,5.739,3.73,4.256,3.07,52.42,2.85,2.723,3.03
185,3.5740000000000003,3.91,3.9200000000000004,2.93,3.3009999999999997,2.65,42.8,2.18,2.4850000000000003,2.34
186,3.7689999999999997,4.18,4.33,3.38,3.5,2.87,49.15,2.37,2.633,2.51
187,3.1260000000000003,3.6,3.524,2.91,2.862,2.42,39.04,2.32,2.1879999999999997,2.27
188,3.097,3.65,3.647,2.96,2.803,2.21,37.41,1.99,2.1109999999999998,2.25
189,3.0309999999999997,3.36,3.4829999999999997,2.49,2.636,2.17,34.16,1.88,1.8719999999999999,2.03
190,3.2020000000000004,2.99,2.77,2.38,3.8270000000000004,2.64,53.33,2.71,3.1,2.45
191,3.2340000000000004,3.17,2.9050000000000002,2.36,3.964,2.7,55.36,2.51,3.7079999999999997,2.22
192,3.088,3.32,2.693,2.41,3.819,2.82,53.59,2.62,3.002,2.39
193,3.211,3.47,2.848,2.62,3.9549999999999996,3.31,56.16,3.0,3.174,2.49
194,3.261,2.98,2.837,2.49,3.747,2.61,48.92,2.39,2.846,2.34
195,3.463,3.1,2.6870000000000003,2.35,4.087,3.05,53.98,2.79,3.159,2.63
196,3.228,3.34,2.879,2.45,3.846,2.82,52.93,2.5,3.097,2.48
197,9.282,9.6,10.058,7.57,8.294,7.47,118.24,6.61,6.9159999999999995,5.66
198,5.561999999999999,4.79,5.2090000000000005,4.26,6.4799999999999995,5.74,86.17000000000002,4.76,4.936999999999999,4.25
199,3.268,3.26,2.902,2.36,3.938,2.72,56.45,2.5,3.2560000000000002,2.49
200,3.4240000000000004,3.39,3.065,2.63,4.0409999999999995,2.92,53.77000000000001,2.72,3.224,2.67
201,11.875,11.9,10.468,4.77,10.885,10.29,183.0,9.69,13.4,7.96
202,12.7,13.79,12.327,9.42,11.706999999999999,11.64,189.0,10.03,12.85,8.19
203,3.964,4.07,3.732,2.98,4.55,3.42,64.45,3.37,3.777,2.86
204,6.3759999999999994,4.74,,,5.733,4.88,75.67,4.33,6.019,3.82
205,5.747999999999999,4.74,6.906000000000001,4.08,5.756,4.8,80.16,4.25,6.054,3.78
206,6.2490000000000006,4.75,6.965999999999999,3.99,5.7299999999999995,4.6,77.6,4.26,6.031000000000001,3.86
207,9.808,7.77,11.304,5.76,8.204,7.17,107.47,6.65,,
208,5.447,4.37,6.329,3.32,4.7829999999999995,3.45,64.25,3.15,5.497,2.86
209,5.756,4.33,6.715000000000001,3.54,5.519,4.21,75.03,3.71,5.933,3.29
210,5.288,4.47,6.202,3.76,4.7090000000000005,3.64,63.42,3.4,5.454,2.9
211,11.087,8.26,12.905000000000001,6.78,8.08,7.98,112.36000000000001,7.18,8.469,7.11
212,11.737,9.25,13.652000000000001,7.0,8.748999999999999,8.92,119.17,7.89,8.661,7.36
213,10.235,7.01,11.867,5.72,7.875,6.89,104.00999999999999,6.12,8.01,6.1
214,10.837,7.49,12.938999999999998,6.0,8.229000000000001,6.74,113.39,6.38,8.605,6.15
215,8.139,5.77,9.483,4.8,6.5969999999999995,5.52,91.63,5.38,7.329000000000001,5.11
216,8.312999999999999,5.8,9.542,4.4,6.698,5.14,90.6,4.95,7.564,4.56
217,8.963,6.44,10.411,5.26,7.223999999999999,6.32,97.78,5.81,7.676,5.29
218,8.905,6.28,10.209,5.37,7.031999999999999,5.9,96.12,5.7,7.505,5.12
219,9.894,7.13,11.972,5.6,7.417,6.3,106.5,5.8,8.312999999999999,5.86
220,12.159,8.17,14.852,6.44,8.967,7.63,116.71,6.87,8.328,6.8
221,13.006,9.51,15.5,7.18,9.479000000000001,8.64,125.53,7.87,5.383,7.89
222,11.641,6.85,13.1,5.8,7.536,6.55,119.87,6.1,9.972,6.06
223,10.706,8.62,12.908000000000001,6.48,7.103,6.87,100.06,6.1,6.864,5.87
224,12.0,8.38,13.0,6.41,8.993,8.46,116.17000000000002,7.52,8.418000000000001,6.97
225,8.545,6.16,9.931999999999999,4.81,5.301,4.27,69.15,4.21,3.761,5.47
226,8.302,5.95,9.697,4.38,5.186999999999999,4.21,66.6,4.06,3.66,5.63
227,7.197,6.18,8.468,5.14,6.379,5.43,82.93,4.63,5.271,4.72
228,8.258,7.32,9.751999999999999,6.19,7.1370000000000005,6.3,91.66,5.65,5.693,5.99
229,4.537,3.72,5.137,3.16,3.902,2.99,53.23,2.68,3.807,2.29
230,4.165,3.62,4.601,3.03,3.8369999999999997,2.85,48.11,2.55,3.5490000000000004,2.22
231,4.246,3.49,4.734,3.27,3.603,2.94,49.17,2.68,3.438,2.25
232,14.5,10.37,18.8,7.92,7.7090000000000005,7.75,125.48,7.9,5.199,9.64
233,14.2,9.6,8.2,7.31,7.795999999999999,7.03,124.98000000000002,7.05,5.182,8.26
234,14.5,10.31,18.8,7.85,7.886,7.72,126.53999999999999,7.13,5.364,8.88
235,5.741,3.82,7.039,3.08,3.97,3.37,66.58,3.33,4.681,2.78
236,5.078,3.15,6.289,2.69,3.632,2.84,62.53,2.75,4.4079999999999995,2.61
237,11.912,7.57,13.737,6.06,7.553,6.35,115.01999999999998,6.22,6.099,7.91
238,11.743,7.13,13.626,5.51,7.554,5.85,115.3,5.45,5.945,8.25
239,11.684999999999999,7.43,13.48,6.19,7.351000000000001,6.1,112.66,5.94,6.125,6.9
240,11.958,8.04,13.838999999999999,6.25,7.636,6.5,115.9,6.07,5.99,6.92
241,12.687999999999999,8.01,14.847,6.59,8.142,6.71,124.05,6.58,6.456999999999999,7.97
242,4.715999999999999,2.82,5.5409999999999995,2.37,3.4579999999999997,2.47,53.22,2.29,3.3770000000000002,2.51
243,4.491,2.54,4.845000000000001,2.14,3.4869999999999997,2.48,50.87,2.27,2.98,2.7
244,6.16,3.42,6.626,2.59,3.7039999999999997,2.84,63.03,2.87,4.451,2.43
245,9.403,5.88,10.409,4.32,5.676,4.98,96.6,4.87,6.865,4.4
246,9.013,5.92,10.428,4.4,5.455,4.65,94.98999999999998,4.42,6.755,4.14
247,10.029,6.33,11.219,4.69,5.971,4.94,102.54000000000002,5.33,7.103,4.95
248,9.645999999999999,5.71,11.184999999999999,4.2,5.982,4.65,99.16,4.56,7.3950000000000005,4.29
249,9.337,5.33,10.265,3.9,5.8549999999999995,4.62,101.23999999999998,4.57,7.13,4.38
250,9.969,6.09,11.1,4.26,6.0840000000000005,4.75,104.72,4.92,7.123,4.21
251,3.4840000000000004,2.44,4.068,2.04,3.843,2.54,42.47999999999999,2.45,2.007,3.15
252,3.312,2.4,3.9850000000000003,1.8,2.746,2.19,38.99,2.15,1.9100000000000001,2.89
253,3.563,2.4,4.267,2.02,2.851,2.41,42.64,2.46,2.105,3.12
254,2.926,2.66,2.763,2.23,2.787,2.03,38.9,1.81,2.522,1.62
255,3.06,2.45,2.59,1.87,3.2359999999999998,2.1,50.25,1.88,3.3579999999999997,1.88
256,3.025,2.29,2.5140000000000002,1.87,3.161,2.18,50.98,2.0,3.35,1.93
257,4.252000000000001,2.99,3.6729999999999996,2.91,5.224,3.81,81.57,3.71,6.127000000000001,2.71
258,4.5600000000000005,3.35,3.8729999999999998,3.52,5.445,4.1,83.59,3.72,6.391,2.67
259,4.397,3.54,3.838,3.14,5.2490000000000006,4.25,83.15,4.12,6.108,3.04
260,4.638,3.41,3.9799999999999995,3.48,5.4670000000000005,4.08,85.88,4.04,6.375,3.09
261,4.557,4.64,5.713,2.93,2.832,2.26,36.95,1.96,1.975,2.16
262,3.3810000000000002,2.8,4.282,2.22,1.888,1.45,26.28,1.31,1.4449999999999998,1.29
263,3.1719999999999997,2.64,4.0,1.99,2.036,1.59,32.21,1.62,1.7719999999999998,1.52
264,0.985,2.88,1.473,1.73,1.627,1.22,20.89,1.25,0.7769999999999999,1.23
265,4.447,4.24,5.577,3.43,3.857,3.06,52.8,2.82,1.857,3.6
266,1.846,1.79,2.112,1.47,1.8829999999999998,1.21,26.33,1.05,1.141,1.56
267,1.855,2.12,2.1079999999999997,1.41,1.8190000000000002,1.3,25.97,1.17,1.126,1.57
268,2.757,2.67,3.16,2.12,1.8920000000000001,1.52,30.42,1.58,1.246,1.46
269,2.707,2.66,3.195,1.87,1.8800000000000001,1.51,26.38,1.33,1.252,1.16
270,2.692,2.73,3.154,2.01,1.9100000000000001,1.59,26.68,1.35,1.3210000000000002,1.23
271,4.912,3.59,6.095000000000001,2.99,2.6350000000000002,2.0,37.29,1.81,1.0390000000000001,2.03
272,4.88,3.78,5.947,3.17,2.614,2.24,36.01,1.63,1.165,2.0
273,4.7170000000000005,3.96,5.657,2.87,3.3600000000000003,2.68,50.66,2.49,3.2030000000000003,2.06
274,3.786,3.24,4.672,2.63,2.752,2.26,42.49000000000001,1.89,2.6879999999999997,1.54
275,3.9979999999999998,3.34,4.75,2.64,2.857,2.53,42.96,2.2,2.766,1.67
276,4.418,3.88,5.072,3.49,3.9579999999999997,3.9,50.89,3.61,3.5140000000000002,2.82
277,4.136,3.52,4.934,2.83,3.097,2.46,44.31,2.43,2.997,2.05
278,4.1659999999999995,3.56,4.882,2.8,3.194,2.52,46.19,2.31,3.073,1.95
279,3.128,2.83,3.688,2.2,2.23,2.1,32.6,1.68,2.0469999999999997,1.54
280,3.407,3.26,4.134,2.62,2.425,2.3,36.35,2.13,2.4690000000000003,2.12
281,3.379,3.04,4.213,2.56,2.309,2.21,34.74,2.07,2.212,1.78
282,3.415,2.98,4.067,2.45,2.472,1.98,37.35,1.93,2.3489999999999998,1.67
283,3.688,3.18,4.628,2.77,2.6079999999999997,2.19,39.44,2.03,2.56,1.98
284,2.855,2.65,3.374,2.38,1.956,1.98,29.21,1.64,1.875,1.53
285,3.051,2.69,3.533,2.29,2.19,2.04,32.26,1.65,2.252,1.43
286,2.981,2.59,3.505,2.28,2.148,2.11,31.89,1.84,2.1670000000000003,1.52
287,2.772,2.67,3.2,2.21,2.268,2.13,32.5,1.76,1.9649999999999999,1.64
288,2.914,2.75,3.2909999999999995,2.16,2.3129999999999997,2.11,33.89,1.8,2.086,1.7
289,2.785,2.65,3.2619999999999996,2.05,2.284,2.14,33.62,1.91,2.082,1.8
290,2.006,1.73,2.315,1.49,1.6629999999999998,1.57,24.71,1.29,1.519,1.24
291,4.16,3.74,5.65,3.02,3.7,2.99,62.9,2.82,3.821,2.51
292,2.961,2.41,3.393,2.02,3.0789999999999997,2.19,51.64,2.01,3.7329999999999997,1.78
293,3.028,2.89,3.537,2.15,3.109,2.51,53.36,2.31,3.9520000000000004,1.69
294,2.81,2.44,3.25,2.19,2.968,2.33,50.47,2.21,3.7979999999999996,1.79
